,,,,,,,,,,,,,,,,Offense Four Factors,,,,Defense Four Factors,,,,,,
21,Los Angeles Lakers,23.7,35,47,37,45,-1.55,0.11,-1.44,106.5,108,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,STAPLES Center,"776,327","18,935"
22,Dallas Mavericks,27.7,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,American Airlines Center,"811,453","19,792"
23,New York Knicks,26.3,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,Madison Square Garden (IV),"792,608","19,332"
24,Brooklyn Nets,25.1,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,0.517,11,77,0.201,Barclays Center,"640,010","15,376"
25,Orlando Magic,25.6,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,Amway Center,"734,531","17,915"
26,Atlanta Hawks,25.4,24,58,27,55,-5.45,0.15,-5.3,105,110.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,"590,769","14,409"
27,Memphis Grizzlies,26,22,60,25,57,-6.21,0.39,-5.81,104.5,111,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,FedEx Forum,"653,863","15,948"
28,Sacramento Kings,26.3,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,Golden 1 Center,"714,680","17,431"
29,Chicago Bulls,24.4,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,"851,824","20,776"
30,Phoenix Suns,23.7,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,Talking Stick Resort Arena,"690,576","16,843"
,,,,,,,,,,,,,,,,,,,,,,,,,,
